BRL_TO,DATA,HORA,OPEN,HIGH,LOW,CLOSE
USD,2020-11-04,23:45:00,5.6528,5.6528,5.6528,5.6528
USD,2020-11-04,23:30:00,5.6528,5.6528,5.6528,5.6528
USD,2020-11-04,23:15:00,5.6635,5.6635,5.6635,5.6635
USD,2020-11-04,23:00:00,5.6635,5.6635,5.6635,5.6635
USD,2020-11-04,22:45:00,5.6635,5.6635,5.6635,5.6635
USD,2020-11-04,22:30:00,5.6635,5.6635,5.6635,5.6635
USD,2020-11-04,22:15:00,5.6528,5.6635,5.6528,5.6528
USD,2020-11-04,22:00:00,5.6528,5.6528,5.6528,5.6528
USD,2020-11-04,21:45:00,5.6507,5.6635,5.6507,5.6528
USD,2020-11-04,21:30:00,5.6552,5.6567,5.6497,5.6542
USD,2020-11-04,21:15:00,5.664,5.664,5.6528,5.6572
USD,2020-11-04,21:00:00,5.6735,5.6765,5.6528,5.6631
USD,2020-11-04,20:45:00,5.678,5.681,5.6694,5.6727
USD,2020-11-04,20:30:00,5.6615,5.6795,5.6577,5.6788
USD,2020-11-04,20:15:00,5.656,5.6625,5.6491,5.6612
USD,2020-11-04,20:00:00,5.6645,5.665,5.6514,5.6555
USD,2020-11-04,19:45:00,5.6608,5.6675,5.6571,5.6624
USD,2020-11-04,19:30:00,5.6592,5.6645,5.6561,5.661
USD,2020-11-04,19:15:00,5.6537,5.6605,5.6466,5.6579
USD,2020-11-04,19:00:00,5.6594,5.6608,5.6471,5.6519
USD,2020-11-04,18:45:00,5.6474,5.6609,5.6414,5.6589
USD,2020-11-04,18:30:00,5.6524,5.654,5.6414,5.647
USD,2020-11-04,18:15:00,5.6607,5.6635,5.6481,5.6529
USD,2020-11-04,18:00:00,5.662,5.6717,5.6569,5.6607
USD,2020-11-04,17:45:00,5.6624,5.6647,5.6536,5.664
USD,2020-11-04,17:30:00,5.658,5.6672,5.6545,5.6626
USD,2020-11-04,17:15:00,5.6537,5.659,5.6463,5.6587
USD,2020-11-04,17:00:00,5.6597,5.6645,5.6458,5.654
USD,2020-11-04,16:45:00,5.6704,5.6718,5.6563,5.6573
USD,2020-11-04,16:30:00,5.6756,5.677,5.6627,5.6699
USD,2020-11-04,16:15:00,5.6654,5.6776,5.6627,5.6759
USD,2020-11-04,16:00:00,5.6672,5.6789,5.6647,5.6652
USD,2020-11-04,15:45:00,5.6868,5.6879,5.6662,5.667
USD,2020-11-04,15:30:00,5.6852,5.6881,5.6735,5.6869
USD,2020-11-04,15:15:00,5.6944,5.7003,5.6805,5.682
USD,2020-11-04,15:00:00,5.7184,5.7221,5.6885,5.6915
USD,2020-11-04,14:45:00,5.7161,5.7249,5.7034,5.7192
USD,2020-11-04,14:30:00,5.7076,5.7181,5.6964,5.7166
USD,2020-11-04,14:15:00,5.7019,5.7112,5.6969,5.7068
USD,2020-11-04,14:00:00,5.6963,5.7061,5.6869,5.7043
USD,2020-11-04,13:45:00,5.6926,5.7061,5.6859,5.6966
USD,2020-11-04,13:30:00,5.692,5.704,5.6824,5.6894
USD,2020-11-04,13:15:00,5.699,5.7045,5.6867,5.6951
USD,2020-11-04,13:00:00,5.71,5.7212,5.6952,5.702
USD,2020-11-04,12:45:00,5.7062,5.7205,5.6948,5.7118
USD,2020-11-04,12:30:00,5.7317,5.7333,5.6932,5.7057
USD,2020-11-04,12:15:00,5.7422,5.7645,5.7286,5.7319
USD,2020-11-04,12:00:00,5.7422,5.754,5.7422,5.754
USD,2020-11-04,11:45:00,5.7418,5.7422,5.7418,5.7422
USD,2020-11-04,11:30:00,5.7418,5.7418,5.7418,5.7418
USD,2020-11-04,11:15:00,5.743,5.743,5.7418,5.7418
USD,2020-11-04,11:00:00,5.743,5.743,5.743,5.743
USD,2020-11-04,10:45:00,5.743,5.743,5.743,5.743
USD,2020-11-04,10:30:00,5.743,5.743,5.743,5.743
USD,2020-11-04,10:15:00,5.743,5.743,5.743,5.743
USD,2020-11-04,10:00:00,5.743,5.743,5.743,5.743
USD,2020-11-04,09:45:00,5.743,5.743,5.743,5.743
USD,2020-11-04,09:30:00,5.743,5.743,5.743,5.743
USD,2020-11-04,09:15:00,5.743,5.743,5.743,5.743
USD,2020-11-04,09:00:00,5.743,5.743,5.743,5.743
USD,2020-11-04,08:45:00,5.743,5.743,5.743,5.743
USD,2020-11-04,08:30:00,5.743,5.743,5.743,5.743
USD,2020-11-04,08:15:00,5.743,5.743,5.743,5.743
USD,2020-11-04,08:00:00,5.743,5.743,5.743,5.743
USD,2020-11-04,07:45:00,5.7418,5.743,5.7418,5.743
USD,2020-11-04,07:30:00,5.7418,5.7418,5.7418,5.7418
USD,2020-11-04,07:15:00,5.7418,5.7418,5.7418,5.7418
USD,2020-11-04,07:00:00,5.7418,5.7418,5.7418,5.7418
USD,2020-11-04,06:45:00,5.7418,5.7418,5.7418,5.7418
USD,2020-11-04,06:30:00,5.7418,5.7418,5.7418,5.7418
USD,2020-11-04,06:15:00,5.7418,5.7418,5.7418,5.7418
USD,2020-11-04,06:00:00,5.7418,5.7418,5.7418,5.7418
USD,2020-11-04,05:45:00,5.7418,5.7418,5.7418,5.7418
USD,2020-11-04,05:30:00,5.7418,5.7418,5.7418,5.7418
USD,2020-11-04,05:15:00,5.7418,5.7418,5.7418,5.7418
USD,2020-11-04,05:00:00,5.7418,5.7418,5.7418,5.7418
USD,2020-11-04,04:45:00,5.7418,5.7418,5.7418,5.7418
USD,2020-11-04,04:30:00,5.7418,5.7418,5.7418,5.7418
USD,2020-11-04,04:15:00,5.7418,5.7418,5.7418,5.7418
USD,2020-11-04,04:00:00,5.7418,5.756,5.7418,5.7418
USD,2020-11-04,03:45:00,5.7418,5.7418,5.7418,5.7418
USD,2020-11-04,03:30:00,5.7418,5.7418,5.7418,5.7418
USD,2020-11-04,03:15:00,5.7418,5.7418,5.7418,5.7418
USD,2020-11-04,03:00:00,5.7418,5.756,5.7418,5.7418
USD,2020-11-04,02:45:00,5.7418,5.756,5.7418,5.7418
USD,2020-11-04,02:30:00,5.7418,5.7418,5.7418,5.7418
USD,2020-11-04,02:15:00,5.7418,5.7418,5.7418,5.7418
USD,2020-11-04,02:00:00,5.7418,5.756,5.7418,5.7418
USD,2020-11-04,01:45:00,5.7418,5.7418,5.7418,5.7418
USD,2020-11-04,01:30:00,5.7418,5.7418,5.7418,5.7418
USD,2020-11-04,01:15:00,5.7418,5.7418,5.7418,5.7418
USD,2020-11-04,01:00:00,5.7418,5.756,5.7418,5.7418
USD,2020-11-04,00:45:00,5.7418,5.756,5.7418,5.7418
USD,2020-11-04,00:30:00,5.7418,5.7418,5.7418,5.7418
USD,2020-11-04,00:15:00,5.7418,5.7418,5.7418,5.7418
USD,2020-11-04,00:00:00,5.7418,5.7418,5.7418,5.7418
USD,2020-11-03,23:45:00,5.7418,5.7418,5.7418,5.7418
USD,2020-11-03,23:30:00,5.7418,5.7418,5.7418,5.7418
USD,2020-11-03,23:15:00,5.7418,5.7418,5.7418,5.7418
USD,2020-11-03,23:00:00,5.7418,5.7418,5.7418,5.7418
